Force: -0.7600691787035517
Flowrate: 0.013941223012651077
Power: 0.25693674012315937
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.006975	    0.572968	     -7.9294	
    0.007000	    0.572956	     -7.9578	
    0.007025	    0.572944	     -7.9861	
    0.007050	    0.572932	     -8.0145	
    0.007075	    0.572919	     -8.0429	
    0.007100	    0.572907	     -8.0713	
    0.007125	    0.572895	     -8.0997	
    0.007150	    0.572882	     -8.1280	
    0.007175	    0.572870	     -8.1564	
    0.007200	    0.572857	     -8.1848	
    0.007225	    0.572845	     -8.2132	
    0.007250	    0.572832	     -8.2415	
    0.007275	    0.572819	     -8.2699	
    0.007300	    0.572807	     -8.2983	
    0.007325	    0.572794	     -8.3267	
    0.007350	    0.572781	     -8.3550	
    0.007375	    0.572768	     -8.3834	
    0.007400	    0.572755	     -8.4118	
    0.007425	    0.572743	     -8.4402	
    0.007450	    0.572730	     -8.4685	
    0.007475	    0.572717	     -8.4969	
    0.007500	    0.572704	     -8.5253	
    0.007525	    0.572691	     -8.5536	
    0.007550	    0.572677	     -8.5820	
    0.007575	    0.572664	     -8.6104	
    0.007600	    0.572651	     -8.6387	
    0.007625	    0.572638	     -8.6671	
    0.007650	    0.572624	     -8.6955	
    0.007675	    0.572611	     -8.7239	
    0.007700	    0.572598	     -8.7522	
    0.007725	    0.572584	     -8.7806	
    0.007750	    0.572571	     -8.8090	
    0.007775	    0.572557	     -8.8373	
    0.007800	    0.572544	     -8.8657	
    0.007825	    0.572530	     -8.8940	
    0.007850	    0.572517	     -8.9224	
    0.007875	    0.572503	     -8.9508	
    0.007900	    0.572489	     -8.9791	
    0.007925	    0.572475	     -9.0075	
    0.007950	    0.572462	     -9.0359	
    0.007975	    0.572448	     -9.0642	
    0.008000	    0.572434	     -9.0926	
    0.008025	    0.572420	     -9.1209	
    0.008050	    0.572406	     -9.1493	
    0.008075	    0.572392	     -9.1777	
    0.008100	    0.572378	     -9.2060	
    0.008125	    0.572364	     -9.2344	
    0.008150	    0.572349	     -9.2627	
    0.008175	    0.572335	     -9.2911	
    0.008200	    0.572321	     -9.3195	
    0.008225	    0.572307	     -9.3478	
    0.008250	    0.572292	     -9.3762	
    0.008275	    0.572278	     -9.4045	
    0.008300	    0.572264	     -9.4329	
