Force: -0.1754374456793037
Flowrate: 0.013932787827220754
Power: 0.07147520155364247
r [m]       	vel [m/s]   	Tau [N/m²]  	
    0.012900	    0.549901	    -12.6704	
    0.012925	    0.549882	    -12.6947	
    0.012950	    0.549862	    -12.7191	
    0.012975	    0.549843	    -12.7434	
    0.013000	    0.549823	    -12.7677	
    0.013025	    0.549803	    -12.7921	
    0.013050	    0.549783	    -12.8164	
    0.013075	    0.549764	    -12.8407	
    0.013100	    0.549744	    -12.8651	
    0.013125	    0.549724	    -12.8894	
    0.013150	    0.549704	    -12.9137	
    0.013175	    0.549684	    -12.9381	
    0.013200	    0.549664	    -12.9624	
    0.013225	    0.549644	    -12.9867	
    0.013250	    0.549624	    -13.0110	
    0.013275	    0.549604	    -13.0353	
    0.013300	    0.549584	    -13.0597	
    0.013325	    0.549564	    -13.0840	
    0.013350	    0.549544	    -13.1083	
    0.013375	    0.549523	    -13.1326	
    0.013400	    0.549503	    -13.1569	
    0.013425	    0.549483	    -13.1812	
    0.013450	    0.549462	    -13.2056	
    0.013475	    0.549442	    -13.2299	
    0.013500	    0.549421	    -13.2542	
    0.013525	    0.549401	    -13.2785	
    0.013550	    0.549380	    -13.3028	
    0.013575	    0.549360	    -13.3271	
    0.013600	    0.549339	    -13.3514	
    0.013625	    0.549319	    -13.3757	
    0.013650	    0.549298	    -13.4000	
    0.013675	    0.549277	    -13.4243	
    0.013700	    0.549257	    -13.4486	
    0.013725	    0.549236	    -13.4729	
    0.013750	    0.549215	    -13.4972	
    0.013775	    0.549194	    -13.5215	
    0.013800	    0.549173	    -13.5458	
    0.013825	    0.549152	    -13.5701	
    0.013850	    0.549131	    -13.5944	
    0.013875	    0.549110	    -13.6187	
    0.013900	    0.549089	    -13.6429	
    0.013925	    0.549068	    -13.6672	
    0.013950	    0.549047	    -13.6915	
    0.013975	    0.549026	    -13.7158	
    0.014000	    0.549005	    -13.7401	
    0.014025	    0.548983	    -13.7644	
    0.014050	    0.548962	    -13.7886	
    0.014075	    0.548941	    -13.8129	
    0.014100	    0.548919	    -13.8372	
    0.014125	    0.548898	    -13.8615	
    0.014150	    0.548877	    -13.8857	
    0.014175	    0.548855	    -13.9100	
    0.014200	    0.548834	    -13.9343	
    0.014225	    0.548812	    -13.9586	
    0.014250	    0.548791	    -13.9828	
    0.014275	    0.548769	    -14.0071	
    0.014300	    0.548747	    -14.0314	
    0.014325	    0.548726	    -14.0556	
    0.014350	    0.548704	    -14.0799	
    0.014375	    0.548682	    -14.1042	
    0.014400	    0.548660	    -14.1284	
    0.014425	    0.548638	    -14.1527	
    0.014450	    0.548616	    -14.1769	
    0.014475	    0.548595	    -14.2012	
    0.014500	    0.548573	    -14.2254	
    0.014525	    0.548551	    -14.2497	
    0.014550	    0.548529	    -14.2740	
    0.014575	    0.548506	    -14.2982	
    0.014600	    0.548484	    -14.3225	
    0.014625	    0.548462	    -14.3467	
    0.014650	    0.548440	    -14.3710	
    0.014675	    0.548418	    -14.3952	
    0.014700	    0.548395	    -14.4194	
    0.014725	    0.548373	    -14.4437	
    0.014750	    0.548351	    -14.4679	
    0.014775	    0.548328	    -14.4922	
    0.014800	    0.548306	    -14.5164	
    0.014825	    0.548283	    -14.5406	
    0.014850	    0.548261	    -14.5649	
    0.014875	    0.548238	    -14.5891	
    0.014900	    0.548216	    -14.6133	
    0.014925	    0.548193	    -14.6376	
    0.014950	    0.548171	    -14.6618	
    0.014975	    0.548148	    -14.6860	
    0.015000	    0.548125	    -14.7103	
    0.015025	    0.548102	    -14.7345	
    0.015050	    0.548080	    -14.7587	
    0.015075	    0.548057	    -14.7829	
    0.015100	    0.548034	    -14.8071	
    0.015125	    0.548011	    -14.8314	
    0.015150	    0.547988	    -14.8556	
    0.015175	    0.547965	    -14.8798	
    0.015200	    0.547942	    -14.9040	
    0.015225	    0.547919	    -14.9282	
    0.015250	    0.547896	    -14.9524	
    0.015275	    0.547872	    -14.9767	
    0.015300	    0.547849	    -15.0009	
    0.015325	    0.547826	    -15.0251	
    0.015350	    0.547803	    -15.0493	
    0.015375	    0.547779	    -15.0735	
    0.015400	    0.547756	    -15.0977	
    0.015425	    0.547733	    -15.1219	
    0.015450	    0.547709	    -15.1461	
    0.015475	    0.547686	    -15.1703	
    0.015500	    0.547662	    -15.1945	
    0.015525	    0.547639	    -15.2187	
    0.015550	    0.547615	    -15.2429	
    0.015575	    0.547592	    -15.2671	
    0.015600	    0.547568	    -15.2913	
    0.015625	    0.547544	    -15.3155	
    0.015650	    0.547521	    -15.3396	
    0.015675	    0.547497	    -15.3638	
    0.015700	    0.547473	    -15.3880	
    0.015725	    0.547449	    -15.4122	
    0.015750	    0.547425	    -15.4364	
    0.015775	    0.547401	    -15.4606	
    0.015800	    0.547377	    -15.4847	
    0.015825	    0.547353	    -15.5089	
    0.015850	    0.547329	    -15.5331	
    0.015875	    0.547305	    -15.5573	
    0.015900	    0.547281	    -15.5814	
    0.015925	    0.547257	    -15.6056	
    0.015950	    0.547233	    -15.6298	
